,model,features,BA,Score
0,xgb,5,0.7173238978770223,0.7173238978770223
1,xgb,10,0.8547423170213297,0.8447423170213297
2,xgb,15,0.8648195844064914,0.8448195844064914
3,xgb,20,0.8350378835237928,0.8050378835237928
4,xgb,25,0.820034507764247,0.780034507764247
5,xgb,30,0.7995799054787327,0.7495799054787327
6,lda,5,0.564602035457978,0.564602035457978
7,lda,10,0.5572878897751994,0.5472878897751994
8,lda,15,0.5498237103348254,0.5298237103348253
9,lda,20,0.5422845140156536,0.5122845140156536
10,lda,25,0.5601260283563803,0.5201260283563802
11,lda,30,0.5501237778500163,0.5001237778500163
12,svc,5,0.712985421719887,0.712985421719887
13,svc,10,0.8213723087694731,0.8113723087694731
14,svc,15,0.8468280363081693,0.8268280363081693
15,svc,20,0.8244354979870471,0.794435497987047
16,svc,25,0.786739516391188,0.746739516391188
17,svc,30,0.7844264959615914,0.7344264959615914
18,lr,5,0.5522117476432198,0.5522117476432198
19,lr,10,0.5572878897751994,0.5472878897751994
20,lr,15,0.5500487609712186,0.5300487609712186
21,lr,20,0.5526618489160061,0.5226618489160061
22,lr,25,0.5427346152884399,0.5027346152884399
23,lr,30,0.5478857742992174,0.4978857742992174
24,rf,5,0.7596459203320747,0.7596459203320747
25,rf,10,0.8470530869445625,0.8370530869445625
26,rf,15,0.8773599059788453,0.8573599059788453
27,rf,20,0.8622815133405016,0.8322815133405016
28,rf,25,0.8450401340301568,0.8050401340301567
29,rf,30,0.8071941186767022,0.7571941186767022
30,dt,5,0.6971693631066991,0.6971693631066991
31,dt,10,0.8199594908854493,0.8099594908854493
32,dt,15,0.8124202945662774,0.7924202945662774
33,dt,20,0.7921907429171564,0.7621907429171564
34,dt,25,0.7948788477407417,0.7548788477407417
35,dt,30,0.7795003875872071,0.729500387587207
36,knn,5,0.7796504213448026,0.7796504213448026
37,knn,10,0.8872871396064115,0.8772871396064115
38,knn,15,0.8849741191768148,0.8649741191768148
39,knn,20,0.8522792628341377,0.8222792628341377
40,knn,25,0.8000300067515191,0.7600300067515191
41,knn,30,0.8099572403790853,0.7599572403790853
