,model,features,BA,Score
0,xgb,5,0.7147476727094562,0.7147476727094562
1,xgb,10,0.7416707496325331,0.7416707496325331
2,xgb,15,0.8051445369916708,0.8051445369916708
3,xgb,20,0.8179568838804507,0.8179568838804507
4,xgb,25,0.819892209701127,0.819892209701127
5,xgb,30,0.8307937285644291,0.8307937285644291
6,xgb,40,0.8737628613424792,0.8737628613424792
7,xgb,50,0.8955658990690838,0.8955658990690838
8,xgb,60,0.8923566878980892,0.8923566878980892
9,xgb,70,0.9032582067613915,0.9032582067613915
10,xgb,80,0.8968397844194023,0.8968397844194023
11,xgb,90,0.8846643802057814,0.8846643802057814
12,xgb,100,0.8923566878980892,0.8923566878980892
13,xgb,110,0.9000489955903969,0.8990489955903969
14,xgb,120,0.9000489955903969,0.8980489955903969
15,xgb,130,0.9038951494365507,0.9008951494365507
16,xgb,140,0.9038951494365507,0.8998951494365507
17,xgb,150,0.8968397844194023,0.8918397844194023
18,lda,5,0.7109015188633023,0.7109015188633023
19,lda,10,0.7109015188633023,0.7109015188633023
20,lda,15,0.7698922097011269,0.7698922097011269
21,lda,20,0.7769475747182754,0.7769475747182754
22,lda,25,0.7949044585987262,0.7949044585987262
23,lda,30,0.8032582067613915,0.8032582067613915
24,lda,40,0.8635227829495346,0.8635227829495346
25,lda,50,0.8814551690347869,0.8814551690347869
26,lda,60,0.8852768250857423,0.8852768250857423
27,lda,70,0.8737383635472807,0.8737383635472807
28,lda,80,0.884639882410583,0.884639882410583
29,lda,90,0.89296913277805,0.89296913277805
30,lda,100,0.8942430181283685,0.8942430181283685
31,lda,110,0.8916952474277315,0.8906952474277315
32,lda,120,0.9045075943165115,0.9025075943165115
33,lda,130,0.9051445369916707,0.9021445369916707
34,lda,140,0.9025722684958354,0.8985722684958354
35,lda,150,0.9064184223419892,0.9014184223419892
36,svc,5,0.7262861342479177,0.7262861342479177
37,svc,10,0.7532092111709946,0.7532092111709946
38,svc,15,0.8096276335129838,0.8096276335129838
39,svc,20,0.8211660950514454,0.8211660950514454
40,svc,25,0.8231014208721215,0.8231014208721215
41,svc,30,0.8590151886330231,0.8590151886330231
42,svc,40,0.9186428221460068,0.9186428221460068
43,svc,50,0.9314551690347869,0.9314551690347869
44,svc,60,0.9314551690347869,0.9314551690347869
45,svc,70,0.9346643802057815,0.9346643802057815
46,svc,80,0.9346643802057815,0.9346643802057815
47,svc,90,0.9442920137187654,0.9442920137187654
48,svc,100,0.9558304752572269,0.9558304752572269
49,svc,110,0.9551935325820676,0.9541935325820676
50,svc,120,0.9596766291033807,0.9576766291033807
51,svc,130,0.9596766291033807,0.9566766291033807
52,svc,140,0.9603135717785399,0.9563135717785399
53,svc,150,0.951984321411073,0.946984321411073
54,lr,5,0.6730769230769231,0.6730769230769231
55,lr,10,0.6846153846153846,0.6846153846153846
56,lr,15,0.7224399804017638,0.7224399804017638
57,lr,20,0.7525722684958354,0.7525722684958354
58,lr,25,0.7666829985301322,0.7666829985301322
