,model,C,BA,Score
0,xgb,0.0001,0.7846515465979845,0.7806515465979845
1,xgb,0.0002,0.5747543197219375,0.5467543197219374
2,xgb,0.0005,0.795328949013528,0.609328949013528
3,xgb,0.001,0.7974919356855292,0.4514919356855292
4,xgb,0.002,0.7603960891200521,0.24239608912005206
5,xgb,0.005,0.7951038983771348,0.07110389837713471
6,xgb,0.01,0.7977920032007202,-0.04620799679927989
7,xgb,0.02,0.7825635768047812,-0.13543642319521898
8,xgb,0.05,0.7998049561151259,-0.15419504388487415
9,lda,0.0001,0.5523617814008152,0.5503617814008152
10,lda,0.0002,0.5474356730264309,0.5194356730264309
11,lda,0.0005,0.5248931009477132,0.3408931009477132
12,lda,0.001,0.5322822635092896,0.19228226350928962
13,lda,0.002,0.5421344802580581,0.020134480258058085
14,lda,0.005,0.5369083043684829,-0.20109169563151708
15,lda,0.01,0.5194418744217448,-0.32855812557825526
16,lda,0.02,0.5195919081793403,-0.40240809182065973
17,lda,0.05,0.507201620364582,-0.46079837963541803
18,svc,0.0001,0.7733740091520592,0.7713740091520592
19,svc,0.0002,0.5925208171838664,0.5685208171838664
20,svc,0.0005,0.6572353779600411,0.46923537796004106
21,svc,0.001,0.6221524843089695,0.2881524843089695
22,svc,0.002,0.6368557925533245,0.11885579255332446
23,svc,0.005,0.6390187792253257,-0.09298122077467441
24,svc,0.01,0.6366307419169313,-0.21536925808306884
25,svc,0.02,0.6293916131129504,-0.3066083868870496
26,svc,0.05,0.6367807756745267,-0.31921922432547334
27,lr,0.0001,0.5623640319071791,0.5603640319071791
28,lr,0.0002,0.5397464429496637,0.5177464429496637
29,lr,0.0005,0.5347453176964817,0.37074531769648167
30,lr,0.001,0.5372083718836738,0.19520837188367374
31,lr,0.002,0.516903803355755,-0.005096196644244988
32,lr,0.005,0.5218299117301393,-0.21617008826986073
33,lr,0.01,0.5069765697281888,-0.33702343027181125
34,lr,0.02,0.521904928608937,-0.40209507139106304
35,lr,0.05,0.516903803355755,-0.45109619664424505
36,rf,0.0001,0.8171963691830662,0.8151963691830661
37,rf,0.0002,0.6353679577905029,0.6173679577905029
38,rf,0.0005,0.6120752169238078,0.4280752169238078
39,rf,0.001,0.602072966417444,0.252072966417444
40,rf,0.002,0.6599234827836262,0.1419234827836262
41,rf,0.005,0.6616363681828412,-0.07836363181715877
42,rf,0.01,0.6650746417944038,-0.1869253582055963
43,rf,0.02,0.6190142782125978,-0.31098572178740225
44,rf,0.05,0.6814908354379735,-0.2765091645620267
45,dt,0.0001,0.7444925108149334,0.7424925108149334
46,dt,0.0002,0.6072991423070191,0.5832991423070191
47,dt,0.0005,0.7099347353154459,0.5259347353154459
48,dt,0.001,0.7150108774474258,0.3670108774474257
49,dt,0.002,0.7621839913980646,0.22818399139806456
50,dt,0.005,0.7577830011752644,0.021783001175264327
51,dt,0.01,0.7606211397564452,-0.0993788602435548
52,dt,0.02,0.7705483733840114,-0.15345162661598866
53,dt,0.05,0.7505438723712836,-0.19745612762871656
54,knn,0.0001,0.8574304218449151,0.8554304218449151
55,knn,0.0002,0.6004350978970268,0.5804350978970267
56,knn,0.0005,0.766509964742067,0.5945099647420671
57,knn,0.001,0.6715636018104074,0.3255636018104074
58,knn,0.002,0.729339101297792,0.19533910129779197
59,knn,0.005,0.7120977219874471,-0.023902278012552958
60,knn,0.01,0.7373283988897501,-0.10467160111024998
61,knn,0.02,0.7044084919106799,-0.22359150808932027
62,knn,0.05,0.7064214448250856,-0.25357855517491434
