,model,features,BA,Score
0,xgb,5,0.47817008826986074,0.47817008826986074
1,xgb,10,0.502500562626591,0.49250056262659103
2,xgb,15,0.46196644244955115,0.44196644244955113
3,xgb,20,0.47741991948188345,0.4474199194818834
4,xgb,25,0.5124277962541572,0.47242779625415726
5,xgb,30,0.6423070190792928,0.5923070190792927
6,lda,5,0.4803330749418619,0.4803330749418619
7,lda,10,0.4851091495586507,0.4751091495586507
8,lda,15,0.482796129129054,0.462796129129054
9,lda,20,0.5004876097121853,0.4704876097121853
10,lda,25,0.4852591833162461,0.44525918331624614
11,lda,30,0.5301192768372884,0.48011927683728844
12,svc,5,0.43898627191118,0.43898627191118
13,svc,10,0.4804831086994574,0.47048310869945736
14,svc,15,0.4654047160611138,0.44540471606111376
15,svc,20,0.48093320997224376,0.45093320997224373
16,svc,25,0.5059388362381536,0.46593883623815363
17,svc,30,0.6323047685729288,0.5823047685729288
18,lr,5,0.46032857392913407,0.46032857392913407
19,lr,10,0.48272111225025627,0.47272111225025626
20,lr,15,0.4874221699882474,0.46742216998824737
21,lr,20,0.49541146758020554,0.4654114675802056
22,lr,25,0.4802580580630642,0.44025805806306423
23,lr,30,0.5275061888925008,0.4775061888925008
24,rf,5,0.4606286414443249,0.4606286414443249
25,rf,10,0.48272111225025627,0.47272111225025626
26,rf,15,0.49712435297942037,0.47712435297942035
27,rf,20,0.4798079567902778,0.44980795679027785
28,rf,25,0.512502813132955,0.472502813132955
29,rf,30,0.6351429071541097,0.5851429071541097
30,dt,5,0.5176539721437323,0.5176539721437323
31,dt,10,0.48764722062464055,0.47764722062464054
32,dt,15,0.5525868320372084,0.5325868320372084
33,dt,20,0.5319821959940987,0.5019821959940987
34,dt,25,0.4998874746818034,0.4598874746818034
35,dt,30,0.5855817558950764,0.5355817558950764
36,knn,5,0.43017178865244676,0.43017178865244676
37,knn,10,0.4927233627566202,0.4827233627566202
38,knn,15,0.48764722062464055,0.46764722062464054
39,knn,20,0.5005626265909829,0.4705626265909829
40,knn,25,0.4907854267210122,0.45078542672101224
41,knn,30,0.6548473406516466,0.6048473406516466
