model;method;features/C;BA;Score
knn;chi2;10;0.8872871396064115;0.8772871396064115
knn;chi2;15;0.8849741191768148;0.8649741191768148
rf;chi2;15;0.8773599059788453;0.8573599059788453
knn;l1;0.0001;0.8574304218449151;0.8554304218449151
knn;boruta;;0.8773599059788453;0.8453599059788452
xgb;chi2;15;0.8648195844064914;0.8448195844064914
xgb;chi2;10;0.8547423170213297;0.8447423170213297
rf;boruta;;0.8747468180340576;0.8427468180340576
xgb;boruta;;0.8700457602960666;0.8380457602960666
rf;gini;5;0.8472781375809557;0.8372781375809557
rf;gini;10;0.8472781375809557;0.8372781375809557
knn;gini;5;0.8471281038233602;0.8371281038233602
knn;gini;10;0.8471281038233602;0.8371281038233602
knn;gini;15;0.8471281038233602;0.8371281038233602
knn;gini;20;0.8471281038233602;0.8371281038233602
knn;gini;25;0.8471281038233602;0.8371281038233602
knn;gini;30;0.8471281038233602;0.8371281038233602
rf;chi2;10;0.8470530869445625;0.8370530869445625
rf;gini;25;0.8446650496361682;0.8346650496361682
rf;chi2;20;0.8622815133405016;0.8322815133405016
rf;gini;15;0.842201995448976;0.832201995448976
rf;gini;30;0.8395889075041885;0.8295889075041885
svc;chi2;15;0.8468280363081693;0.8268280363081693
knn;chi2;20;0.8522792628341377;0.8222792628341377
rf;gini;20;0.8321997449426121;0.822199744942612
xgb;gini;5;0.8272736365682278;0.8172736365682278
xgb;gini;10;0.8272736365682278;0.8172736365682278
xgb;gini;15;0.8272736365682278;0.8172736365682278
xgb;gini;20;0.8272736365682278;0.8172736365682278
xgb;gini;25;0.8272736365682278;0.8172736365682278
xgb;gini;30;0.8272736365682278;0.8172736365682278
rf;l1;0.0001;0.8171963691830662;0.8151963691830661
svc;boruta;;0.8469780700657648;0.8149780700657647
svc;chi2;10;0.8213723087694731;0.8113723087694731
dt;chi2;10;0.8199594908854493;0.8099594908854493
rf;chi2;25;0.8450401340301568;0.8050401340301567
xgb;chi2;20;0.8350378835237928;0.8050378835237928
svc;chi2;20;0.8244354979870471;0.794435497987047
dt;chi2;15;0.8124202945662774;0.7924202945662774
xgb;l1;0.0001;0.7846515465979845;0.7806515465979845
xgb;chi2;25;0.820034507764247;0.780034507764247
knn;chi2;5;0.7796504213448026;0.7796504213448026
svc;gini;5;0.7865894826335925;0.7765894826335925
svc;gini;10;0.7865894826335925;0.7765894826335925
svc;gini;15;0.7865894826335925;0.7765894826335925
svc;gini;20;0.7865894826335925;0.7765894826335925
svc;gini;25;0.7865894826335925;0.7765894826335925
svc;gini;30;0.7865894826335925;0.7765894826335925
svc;l1;0.0001;0.7733740091520592;0.7713740091520592
dt;boruta;;0.7951038983771348;0.7631038983771348
dt;chi2;20;0.7921907429171564;0.7621907429171564
knn;chi2;25;0.8000300067515191;0.7600300067515191
